,beta,edge_num,gamma,lamuda10:,lamuda1:,lamuda2:,lamuda3:,lamuda4:,lamuda5:,lamuda6:,lamuda7:,lamuda8:,lamuda9:,node_num
68,0.627099609,20,0.9,-0.426157344,4.287725412,-2.786449966,-2.580108369,-1.521414775,1.563937838,1.069270886,0.890905182,0.060195967,-0.55790483,10
69,0.750488281,20,1,-0.426157344,4.287725412,-2.786449966,-2.580108369,-1.521414775,1.563937838,1.069270886,0.890905182,0.060195967,-0.55790483,10
70,0.070703125,20,0.1,-2.175086194,4.232027912,2.140393131,1.264899617,0.306508643,0.187733474,-2.56529061,-0.569548026,-1.125710765,-1.695927183,10
71,0.135546875,20,0.2,-2.175086194,4.232027912,2.140393131,1.264899617,0.306508643,0.187733474,-2.56529061,-0.569548026,-1.125710765,-1.695927183,10
72,0.212988281,20,0.3,-2.175086194,4.232027912,2.140393131,1.264899617,0.306508643,0.187733474,-2.56529061,-0.569548026,-1.125710765,-1.695927183,10
73,0.288671875,20,0.4,-2.175086194,4.232027912,2.140393131,1.264899617,0.306508643,0.187733474,-2.56529061,-0.569548026,-1.125710765,-1.695927183,10
74,0.354003906,20,0.5,-2.175086194,4.232027912,2.140393131,1.264899617,0.306508643,0.187733474,-2.56529061,-0.569548026,-1.125710765,-1.695927183,10
75,0.450292969,20,0.6,-2.175086194,4.232027912,2.140393131,1.264899617,0.306508643,0.187733474,-2.56529061,-0.569548026,-1.125710765,-1.695927183,10
76,0.497998047,20,0.7,-2.175086194,4.232027912,2.140393131,1.264899617,0.306508643,0.187733474,-2.56529061,-0.569548026,-1.125710765,-1.695927183,10
77,0.555859375,20,0.8,-2.175086194,4.232027912,2.140393131,1.264899617,0.306508643,0.187733474,-2.56529061,-0.569548026,-1.125710765,-1.695927183,10
78,0.618310547,20,0.9,-2.175086194,4.232027912,2.140393131,1.264899617,0.306508643,0.187733474,-2.56529061,-0.569548026,-1.125710765,-1.695927183,10
79,0.710449219,20,1,-2.175086194,4.232027912,2.140393131,1.264899617,0.306508643,0.187733474,-2.56529061,-0.569548026,-1.125710765,-1.695927183,10
80,0.067578125,20,0.1,0.866526016,4.301888968,-2.502462109,-2.296029772,-1.632969036,-1.152753088,-0.676867826,1.806361362,0.066522545,1.21978294,10
81,0.144140625,20,0.2,0.866526016,4.301888968,-2.502462109,-2.296029772,-1.632969036,-1.152753088,-0.676867826,1.806361362,0.066522545,1.21978294,10
82,0.215917969,20,0.3,0.866526016,4.301888968,-2.502462109,-2.296029772,-1.632969036,-1.152753088,-0.676867826,1.806361362,0.066522545,1.21978294,10
83,0.280859375,20,0.4,0.866526016,4.301888968,-2.502462109,-2.296029772,-1.632969036,-1.152753088,-0.676867826,1.806361362,0.066522545,1.21978294,10
84,0.357910156,20,0.5,0.866526016,4.301888968,-2.502462109,-2.296029772,-1.632969036,-1.152753088,-0.676867826,1.806361362,0.066522545,1.21978294,10
85,0.421582031,20,0.6,0.866526016,4.301888968,-2.502462109,-2.296029772,-1.632969036,-1.152753088,-0.676867826,1.806361362,0.066522545,1.21978294,10
86,0.504150391,20,0.7,0.866526016,4.301888968,-2.502462109,-2.296029772,-1.632969036,-1.152753088,-0.676867826,1.806361362,0.066522545,1.21978294,10
87,0.537109375,20,0.8,0.866526016,4.301888968,-2.502462109,-2.296029772,-1.632969036,-1.152753088,-0.676867826,1.806361362,0.066522545,1.21978294,10
